title,collection,description_old,date,date is approximate,Language,subject,location,latitude,longitude,donor,publisher - digital,source,identifier,newphoto_filename,object-id,id number,photo number,building number,rights,rightsstatement,ordering information,format original,type,format,filename,oclc number,date created,date modified,reference url,cdm-id,contentdm file name,contentdm file path,description_new,date_new,narrative,instagram_text,hashtags,notes
"University farms, panoramic view, University of Idaho. View from near Brink Hall. [1-3]",University of Idaho Campus Photographs,1941 panoramic photograph of University farms. View is from the east near Brink Hall.  [PG1_001-03],1941,,en,streets; campuses; farms; panoramic view;,University farms,46.729654,-117.024232,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 1, University of Idaho Campus Photographs, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",PG1_001-03,new_PG1_001-03,pg11067,18994,3,1,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"To order a reproduction, inquire about permissions, or for information about prices email libspec@uidaho.edu",8x10 black and white print,Image;StillImage,image/jpg,,,2013-06-07,2014-02-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg1/id/1067,1067,1068.jp2,/pg1/image/1068.jp2,"2019 photograph with the Teaching and Learning Center on the left, Brink Hall on the right, and two University vehicles parked between the buildings above the stairs. ",2019,"The University of Idaho has undergone significant changes since its establishment at the very end of the 1800s, many of which include the addition of new buildings, roads, and infrastructure. Brink hall acts as a familiar landmark in these photos, but the change depicted in these images is apparent. The photo from the 1940s shows Brink Hall to the right with the University Farms in the background. Now the view from this location includes new infrastructure including a part of the Idaho Commons and concrete stairs surrounded by foliage that lead to even more new campus buildings such as the library, the Agricultural Science building, and the Integrated Research and Innovation Center. ","Something seems different- the TLC and Commons are gone! Prior to the building of the Commons and TLC and surrounding construction, this campus location provided an excellent view of the university farms. Do you notice anything familiar? Phinney-Brink Hall was already built at this time. ",University of Idaho; Uidaho; Phinney Hall; Brink Hall; University Farms; Then and Now; Past and Present; classic cars; black and white,
"Administration Building, University of Idaho (1892-1906). [51-6]",University of Idaho Campus Photographs ,1899 photograph of Administration Building.  View of the drive up to the old Administration.   [PG1_51-06],1899,,en,Administration building,Administration Building,46.725966,-117.010529,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 1, University of Idaho Campus Photographs, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",PG1_51-06,new_PG1_51-06,pg11229,18913,6,51,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"To order a reproduction, inquire about permissions, or for information about prices email libspec@uidaho.edu","4x5 black and white glass negative, 8x10 print",Image;StillImage,image/jpg,,,2013-06-07,2014-02-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg1/id/1229,1229,1230.jp2,/pg1/image/1230.jp2,2019 photograph of the new Administration Building and the drive up to it. ,2019,"The Administration Building has been an icon of the University of Idaho over more than a century despite dramatic changes. Built in 1892, the Old Administration building was constructed of red brick into a ""U"" shape consisting of a main section and east and west wings. This historic building stood until a fire destroyed it in 1906 and construction of the New Administration Building began the next year. The New Administration Builidng bears similarities to its predecessor, such as its red brick exterior and U shape, however the new building exhibits new features such as the clock tower, stained glass windows, an auditorium, and other updated infrastructure. ","Did you know that the current Administration Building is not the original? The old Administration Building was built in 1891 and housed classrooms, the library, and other offices. It was considered to be ""the most attractive building in Idaho"" until a fire destroyed it in 1906. Bits of rubble were gathered to create the aptly named Memorial Steps, and in 1907 construction of our current Administration Building was underway! ",University of Idaho; Administration building; Uidaho; then and now; past and present; black and white,
"Administration Building, University of Idaho (1892-1906) after the fire. [51-26]",University of Idaho Campus Photographs ,1906 photograph of Administration Building.  View of the old administration Building after the fire.  [PG1_51-26],1906,,en,Administration building; rubble,Administration Building,46.725966,-117.010529,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 1, University of Idaho Campus Photographs, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",PG1_51-26,new_PG1_51-26,pg11249,18937,26,51,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"To order a reproduction, inquire about permissions, or for information about prices email libspec@uidaho.edu",4x5 copy negative,Image;StillImage,image/jpg,,,2013-06-07,2014-02-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg1/id/1249,1249,1250.jp2,/pg1/image/1250.jp2,2019 photograph of the front view of the new Administration Building and flagpole.,2019,"The Administration Building has been an icon of the University of Idaho over more than a century despite dramatic changes. Built in 1892, the Old Administration building was constructed of red brick into a ""U"" shape consisting of a main section and east and west wings. This historic building stood until a fire destroyed it in 1906 and construction of the New Administration Building began the next year. The New Administration Builidng bears similarities to its predecessor, such as its red brick exterior and U shape, however the new building exhibits new features such as the clock tower, stained glass windows, an auditorium, and other updated infrastructure. ","The Administration Building has never looked better, especially compared to the old Administration Building after a fire destroyed it in 1906. The old Admin was reduced to rubble and construction of the current Admin was well underway in 1907! ",University of Idaho; Uidaho; Administration Building; Admin Building History; Fire of 1906; Then and Now; Past and Present; black and white,
"Memorial Gymnasium, University of Idaho. Construction. [61-3]",University of Idaho Campus Photographs ,1928 photograph of Memorial Gymnasium.  View of construction.  [PG1_61-03],1928,,en,Construction,Memorial Gymnasium,46.72652,-117.013316,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 1, University of Idaho Campus Photographs, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",PG1_61-03,new_PG1_61-03,pg11583,19460,3,61,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"To order a reproduction, inquire about permissions, or for information about prices email libspec@uidaho.edu",5x7 black and white print,Image;StillImage,image/jpg,,,2013-06-07,2014-02-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg1/id/1583,1583,1584.jp2,/pg1/image/1584.jp2,2019 photograph of the Memorial Gym. ,2019,"""Commonly known as ""Mem Gym"", the Memorial Gymnasium was built in 1929 as a memorial to all Idahoans who lost their lives in World War 1. The building was designed by UI faculty members and features many architectural quirks such as the leatherhead-footballer gargoyles that decorate its walls and windows. It has served as a sports area and physical education venue seating 2,500 as well as for UI commencements and events. First Lady Eleanor Roosevelt gave a lecture in the main gymnasium in 1938, which is one of many reasons that the building was added to the National Register of Historic Places at the relatively young age of 49 years in 1977."" This building's function has shifted with the University's changing and growing campus, however it remains a beautiful and historic icon of the University. ","Memorial gym houses more than just sports- it is home to amazing history! Since its construction in 1929, this building has featured sporting events, physical education classes, commencements, a lecture by First Lady Eleanor Roosevelt, and was even added to the National Register of Historic Places in 1977. It also is the home to some leatherhead-footballer gargoyles! ",University of Idaho; Uidaho; Memorial Gym; construction; then and now; past and present; black and white,https://www.lib.uidaho.edu/digital/campus/locations/MemorialGymnasium.html#more
"Memorial Steps, University of Idaho. [97-4]",University of Idaho Campus Photographs ,1955 photograph of Memorial Steps. Students talking on steps. [PG1_097-04],1955,yes,en,stairs; students; trees,Memorial Steps,46.724912,-117.010607,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 1, University of Idaho Campus Photographs, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",PG1_97-04,new_PG1_97-04,pg170,19841,4,97,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"To order a reproduction, inquire about permissions, or for information about prices email libspec@uidaho.edu",8x10 black and white print,Image;StillImage,image/jpg,,,2013-05-29,2014-02-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg1/id/70,70,71.jp2,/pg1/image/71.jp2,2019 photograph of Memorial Steps and surrounding foliage,2019,"After the fire of 1906 destroyed the old Administration Building, only a skeleton of the building remained. Many stones from the rubble were collected and constructed into Memorial steps, which serve as a tribute to the University's historic past. ","Fashion may have changed since the 1950s but the Memorial Steps haven't! These historic steps were constructed from the rubble of the Old Adminstration building which was destroyed by a fire in 1906. Hence the name, these steps now serve as a memorial to the University's history. ",University of Idaho; Uidaho; Memorial Steps; 50's fashion; student life; then and now; past and present; black and white,
"President's Residence, University of Idaho. Construction. [131-2]",University of Idaho Campus Photographs ,1966 photograph of President's Residence under construction. Automobiles in foreground. Donor: Publications Dept..  [PG1_131-02],1966,,en,houses; construction; water tanks; automobiles; construction sites,President's Residence,46.723718,-117.014523,Publications Dept.,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 1, University of Idaho Campus Photographs, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",PG1_131-02,new_PG1_131-02,pg1579,20265,2,131,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"To order a reproduction, inquire about permissions, or for information about prices email libspec@uidaho.edu",8x10 black and white print,Image;StillImage,image/jpg,,,2013-06-07,2014-02-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg1/id/579,579,563.jp2,/pg1/image/563.jp2,"Photograph of the President's new residence built in 2019 with the ""I Tower"" in the background",2019,"The University of Idaho has had 19 presidents and their on campus residence has changed over the years. In 1966 a president's residence was under construction now, in 2019, a new president's residence has been built. The new 6,000 square foot building sits on top of the same foundation as the old president's house, keeping the history alive. ","The ""I Tower"" hasn't changed but the President's residence sure has! This photo of the President's residence in 1966 looks much different than the modern home built in 2019. ",University of Idaho; Uidaho President; president residence; then and now; modern architecture; Uidaho; I tower; black and white,
"Power plant, University of Idaho. [160-1]",University of Idaho Campus Photographs,1930 photograph of the power plant. Automobiles in foreground. Donor: Publications Dept.  [PG1_160-01],1930,yes,en,steam power plants; streets; automobiles,Power plant,46.729991,-117.01162,Publications Dept.,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 1, University of Idaho Campus Photographs, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",PG1_160-01,new_PG1_160-01,pg1924,20441,1,160,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"To order a reproduction, inquire about permissions, or for information about prices email libspec@uidaho.edu",3x4 black and white film negative,Image;StillImage,image/jpg,,,2013-06-07,2014-02-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg1/id/924,924,897.jp2,/pg1/image/897.jp2,2019 photograph of the University Power Plant with construction in the background.,2019,"Built in 1927 at a cost of 75,000 dollars, the power and heating plant has been and remains critical to the function of the University of Idaho. This four story building is made of brick and concrete and has a flat roof of composition roofing. This building has undergone minimal changes including boilers added in 1939 and 1948. This building is home to a lot of history as well as a couple friendly decorative skeletons in the window who are always dressed for the season. ","Can you spot the differences? Since its construction in 1926 the University of Idaho power plant has undergone a few dramatic changes such as the removal of the smokestack. Though you may not spot any classic cars anymore, a glance through the window may show some friendly decorative skeletons dressed for the season!",University of Idaho; Uidaho; Power Plant; classic cars; black and white; Steam Plant; Then and Now; Past and Present ,
"Memorial Gymnasium, University of Idaho",University of Idaho Historical Photograph Collection,Image shows construction of Memorial Gymnasium on the University of Idaho campus.,1928,,en,University of Idaho; Buildings; Photographs; Memorial Gymnasium,,,,,University of Idaho Library,PG 1-61-32,1-61-32,new_1-61-32,spec_uihp486,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",,Image;StillImage,image/jpg,,,2011-03-03,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_uihp/id/486,486,496.jp2,/spec_uihp/image/496.jp2,2019 photograph of the Memorial Gym ,2019,"Built in 1929 as a memorial to all Idahoans who lost their lives in World War 1, the Memorial Gym has served as a venue for events ranging from sports, physical education classes, speaches, commencement ceremonies, and other University function. Though commencement ceremonies are no longer held here, the Memorial Gym's functions have been shifted to accomodates the University's needs while remaining a beautiful and historic landmark of the University of Idaho.",You may not see many classic cars driving around Memorial Gym anymore but there is history in the building itself! Did you know that this building was built as a memorial to Idahoans lost in World War 1 and that it was added to the National Register of Historic Places? For almost 100 years this building has been the venue for many university events. ,University of Idaho; Uidaho; Memorial Gym Construction; Construction; Memorial Gym; Classic cars; 1928; Then and Now; Past and Present; black and white,
Commencement 1961,University of Idaho Historical Photograph Collection,Parents and friends congratulate the seniors after commencement outside Memorial Gym.,1961,,en,University of Idaho; graduation,,,,,University of Idaho Library,"PG 2 University of Idaho Student Organizations, 2-109-81 to 2-109-130",2-109-101,new_2-109-101,spec_uihp135,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",,Image;StillImage,image/jpg,,,2010-05-18,2014-04-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_uihp/id/135,135,91.jpg,/spec_uihp/image/91.jpg,2019 photograph of the entrance to Memorial Gym.,2019,"""Commonly known as ""Mem Gym"", the Memorial Gymnasium was built in 1929 as a memorial to all Idahoans who lost their lives in World War 1. The building was designed by UI faculty members and features many architectural quirks such as the leatherhead-footballer gargoyles that decorate its walls and windows. It has served as a sports area and physical education venue seating 2,500 as well as for UI commencements and events. First Lady Eleanor Roosevelt gave a lecture in the main gymnasium in 1938, which is one of many reasons that the building was added to the National Register of Historic Places at the relatively young age of 49 years in 1977."" This building's function has shifted with the University's changing and growing campus, however it remains a beautiful and historic icon of the University. ","Did you know that commencement ceremonies were held in Memorial Gym prior to the construction of the Kibbie Dome? Though much has changed since the 1960s, the joy and pride of a UI graduate has not! ",University of Idaho; Uidaho; Memorial Gym; Commencement; Graduation; caps and gowns; celebration; black and white; then and now; past and present; 1961,
Alpha Phi House [02],University of Idaho Student Organizations Collection,House on southeast corner of 6th and Elm Streets occupied by Pi Sigma Rho which became Alpha Phi in 1928.,1925,yes,en,sororities; sorority houses,Alpha Phi Sorority House,46.729747,-117.008131,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",002-002,new_002-002,pg261,,,,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,,5x3.5 black and white print,Image;StillImage,image/jpg,,,2017-10-17,2017-10-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/61,61,65.jp2,/pg2/image/65.jp2,2019 photo of Alpha Phi sorority house located on southeast corner of 6th and Elm Streets,2019,"Built in 1925, this house was originally home to the women of Pi Sigma Rho sorority which became the Alpha Phi sorority in 1928. This house has been home to the women of Alpha Phi since then.","The women of Alpha Phi sorority have resided in their current house on the corner of Elm and 6th Streets since 1928, but did you know that Pi Sigma Rho sorority occupied their house before that? ",University of Idaho; Uidaho; Greek life; Idaho Greek life; Alpha Phi; Alpha Phi Sorority; APhi; Alpha Phi Beta Zeta Chapter; Then and Now; Past and Present; Black and White,
